"년월","기관/유형","한국어","영어","일본어","중국어","베트남어","타갈로그어","몽골어","프랑스어","러시아어","우즈벡어","태국어","네팔어","인도네시아어","파키스탄어(우르두어)","아랍어","스페인어","기타언어","합계"
"202405","202405","50","89","19","77","24","182","0","0","54","0","0","0","0","0","0","0","0","495"
"202404","202404","40","137","22","176","12","194","0","0","83","0","0","0","0","0","0","0","0","664"
"202403","202403","22","123","35","170","0","185","0","0","51","0","0","0","0","0","0","0","0","586"
"202402","202402","31","140","24","121","0","159","0","0","43","0","0","0","0","0","0","0","0","518"
"202401","202401","33","83","19","58","0","108","0","0","62","0","0","0","0","0","0","0","0","363"
"202312","202312","23","85","20","47","0","198","0","0","58","0","0","0","0","0","0","18","0","449"
"202311","202311","31","92","22","75","0","202","0","0","77","0","0","0","0","0","0","20","0","519"
"202310","202310","28","50","17","86","0","196","0","0","85","0","0","0","0","0","0","24","0","486"
"202309","202309","34","51","15","68","0","153","0","0","58","0","0","0","0","0","0","27","0","406"
"202308","202308","35","61","10","84","0","131","0","0","40","0","0","0","0","0","0","26","0","387"
"202307","202307","54","115","31","81","0","240","0","0","0","0","0","0","0","0","0","24","0","545"
"202306","202306","65","107","21","66","0","277","0","0","19","0","0","0","0","0","0","25","0","580"
"202305","202305","58","125","34","80","16","210","0","0","219","9","0","0","0","0","0","11","0","762"
"202304","202304","41","124","39","122","132","194","0","0","159","70","0","0","0","0","0","5","0","886"
"202303","202303","32","172","49","127","213","220","118","0","270","249","19","0","0","0","0","14","0","1483"
"202302","202302","40","114","48","119","219","148","106","0","175","173","100","0","0","0","0","21","0","1263"
"202301","202301","28","173","55","122","169","234","125","0","178","212","58","0","0","0","0","0","0","1354"
"202212","202212","46","301","60","220","230","187","130","0","253","235","139","0","0","0","6","7","0","1814"
"202211","202211","63","332","70","193","218","188","127","0","270","255","106","0","0","0","18","24","0","1864"
"202210","202210","62","376","83","212","253","224","179","0","309","272","74","0","5","0","11","17","0","2077"
"202209","202209","56","338","75","243","218","178","136","0","261","238","141","0","10","0","6","19","0","1919"
"202208","202208","68","415","99","275","204","130","202","0","297","276","160","0","22","0","12","28","0","2188"
"202207","202207","63","391","101","168","175","200","159","0","308","219","192","0","23","0","17","19","0","2035"
"202206","202206","79","325","115","194","185","237","107","0","285","300","153","0","17","0","12","13","0","2022"
"202205","202205","51","340","71","206","203","173","114","0","378","315","107","0","16","0","8","9","0","1991"
"202204","202204","58","398","66","203","273","268","160","0","327","194","197","0","18","0","11","4","0","2177"
"202203","202203","53","412","77","250","353","255","167","0","376","382","274","0","15","0","7","0","0","2621"
"202202","202202","34","330","69","164","290","261","140","0","260","263","203","0","21","0","22","32","0","2089"
"202201","202201","42","276","74","172","341","212","153","0","354","313","143","0","12","0","19","20","0","2131"
"202112","202112","79","409","79","239","289","209","180","0","330","388","110","0","25","0","22","22","0","2381"
"202111","202111","37","331","60","170","233","214","189","0","389","390","303","0","37","0","21","30","0","2404"
"202110","202110","57","475","79","205","288","227","237","0","417","423","296","0","20","0","24","22","0","2770"
"202109","202109","44","290","64","215","250","136","304","0","353","337","367","0","18","0","31","25","0","2434"
"202108","202108","66","978","97","525","258","308","271","0","380","476","914","0","59","0","0","21","0","4353"
"202107","202107","98","668","101","510","377","328","308","0","328","211","325","0","24","0","0","20","0","3298"
"202106","202106","64","307","74","278","196","245","184","0","354","290","180","0","28","0","0","28","0","2228"
"202105","202105","62","312","66","226","235","229","204","0","370","133","219","0","18","0","4","33","0","2111"
"202104","202104","59","419","84","192","326","412","197","0","405","258","216","0","18","0","90","27","0","2703"
"202103","202103","60","405","92","217","341","343","259","0","409","203","251","0","18","0","16","21","0","2635"
"202102","202102","64","279","65","131","183","256","147","0","298","284","170","0","19","0","27","18","0","1941"
"202101","202101","85","541","81","159","209","336","224","0","501","173","293","0","28","0","43","25","0","2698"
"202012","202012","112","717","80","203","209","253","130","0","324","290","218","0","17","0","36","20","1","2610"
"202011","202011","69","378","89","266","232","230","170","0","419","238","239","0","23","0","51","26","1","2431"
"202010","202010","73","329","83","209","140","217","177","1","382","242","248","0","12","0","29","22","0","2164"
"202009","202009","547","726","190","594","332","337","300","0","591","337","385","0","29","0","47","35","0","4450"
"202008","202008","109","373","117","279","245","314","421","0","437","198","330","1","31","0","45","16","0","2916"
"202007","202007","83","424","109","330","287","349","540","0","619","285","270","0","40","0","56","28","0","3420"
"202006","202006","72","467","95","250","258","357","580","0","654","229","320","0","45","0","51","15","0","3393"
"202005","202005","81","425","78","237","224","314","499","0","578","166","243","0","32","0","19","19","0","2915"
"202004","202004","122","432","112","477","243","362","560","0","590","239","409","0","33","0","31","20","0","3630"
"202003","202003","60","313","91","270","222","371","321","0","625","142","272","0","29","0","28","21","0","2765"
"202002","202002","102","414","82","279","296","368","263","0","501","203","301","1","45","0","30","26","2","2913"
"202001","202001","91","395","85","178","204","344","247","0","462","251","282","0","43","0","33","30","0","2645"
"201912","201912","76","286","73","200","249","186","145","0","296","177","189","0","28","0","32","31","0","1968"
"201911","201911","72","335","89","209","229","389","142","0","469","236","189","0","27","0","22","11","1","2420"
"201910","201910","211","340","99","182","238","463","199","0","591","219","245","0","22","0","23","15","0","2847"
"201909","201909","246","414","91","211","202","364","192","0","609","161","170","0","35","0","21","29","0","2745"
"201908","201908","114","460","97","230","271","276","177","0","365","191","222","0","27","0","69","18","0","2517"
"201907","201907","79","542","110","197","262","358","139","0","617","250","167","0","31","0","51","15","0","2818"